campaign_id,campaign_name,channel,date,month,quarter,customer_segment,device_type,region,gender,impressions,clicks,conversions,spend,revenue,ctr,cvr,roi,cpa,roas,bounce_rate,avg_time_on_site_s,avg_pages_per_visit,budget_allocated
C7866,Email_Newsletter,Email,2024-01-01,January,Q1,Gen X (35-44),Mobile,Central,Non-binary,1343,470,31,50.47,5007.61,35.06,6.61,9821.95,1.63,99.22,32.0,579.9,4.9,50.51
C9265,Instagram_Stories,Social,2024-01-01,January,Q1,Seniors (45+),Mobile,South,Non-binary,5292,1123,142,1072.12,30567.53,21.22,12.69,2751.13,7.55,28.51,48.0,517.2,7.6,1114.63
C2811,Google_Search_Ads,Search,2024-01-02,January,Q1,Millennials (25-34),Desktop,West,Female,3572,956,114,1462.74,41583.44,26.78,11.93,2742.85,12.83,28.43,24.0,579.6,2.2,1905.13
C2526,LinkedIn_B2B,Social,2024-01-02,January,Q1,Seniors (45+),Desktop,East,Non-binary,22787,3348,142,10464.65,14626.84,14.7,4.27,39.77,73.69,1.4,44.0,369.5,1.7,15380.78
C1828,Influencer_Marketing,Influencer,2024-01-02,January,Q1,Young Adults (18-24),Tablet,West,Female,25459,8090,378,17101.98,132382.14,31.78,4.67,674.07,45.24,7.74,28.0,71.8,1.1,25273.84
C4060,Facebook_Social,Social,2024-01-02,January,Q1,Seniors (45+),Tablet,Central,Female,14936,3045,139,2810.57,46892.66,20.39,4.59,1568.44,20.22,16.68,41.0,142.9,6.3,3971.77
C7396,Instagram_Stories,Social,2024-01-02,January,Q1,Seniors (45+),Mobile,South,Female,2495,681,51,642.69,13006.09,27.31,7.6,1923.7,12.6,20.24,72.0,358.0,4.5,849.41
C6516,YouTube_Video_Ads,Video,2024-01-02,January,Q1,Young Adults (18-24),Desktop,North,Female,545,66,1,30.17,171.42,12.19,2.79,468.18,30.17,5.68,43.0,33.6,7.5,36.41
C5634,YouTube_Video_Ads,Video,2024-01-02,January,Q1,Seniors (45+),Desktop,Central,Female,32630,4040,20,1536.98,6802.18,12.38,0.5,342.57,76.85,4.43,44.0,171.8,6.6,2080.13
C2713,LinkedIn_B2B,Social,2024-01-02,January,Q1,Gen X (35-44),Tablet,East,Female,22183,3110,344,12411.38,27906.26,14.02,11.09,124.84,36.08,2.25,46.0,65.6,6.7,12899.81
C8486,Influencer_Marketing,Influencer,2024-01-02,January,Q1,Young Adults (18-24),Desktop,East,Male,10029,2610,74,5326.81,24788.06,26.03,2.87,365.35,71.98,4.65,62.0,487.7,8.9,7824.24
C6338,Instagram_Stories,Social,2024-01-02,January,Q1,Gen X (35-44),Tablet,North,Male,1962,538,23,658.06,3646.64,27.47,4.45,454.15,28.61,5.54,66.0,219.3,8.1,681.04
C8287,YouTube_Video_Ads,Video,2024-01-02,January,Q1,Seniors (45+),Mobile,Central,Male,30810,4200,199,1530.35,32184.3,13.63,4.76,2003.07,7.69,21.03,37.0,92.2,7.6,1634.54
C7771,Email_Newsletter,Email,2024-01-03,January,Q1,Gen X (35-44),Desktop,South,Female,7844,1459,92,161.12,27286.97,18.61,6.31,16835.81,1.75,169.36,27.0,397.4,2.4,213.87
C1501,Influencer_Marketing,Influencer,2024-01-03,January,Q1,Seniors (45+),Desktop,Central,Female,6034,2347,273,5019.7,22903.65,38.91,11.65,356.28,18.39,4.56,32.0,578.9,4.0,5693.53
C4008,Email_Newsletter,Email,2024-01-03,January,Q1,Young Adults (18-24),Tablet,East,Male,8159,1326,73,119.13,16083.19,16.26,5.53,13400.54,1.63,135.01,25.0,477.8,5.2,145.75
C2111,Email_Newsletter,Email,2024-01-03,January,Q1,Young Adults (18-24),Desktop,South,Non-binary,9420,1801,78,170.91,10341.81,19.12,4.35,5951.03,2.19,60.51,75.0,250.7,9.5,204.28
C4938,Email_Newsletter,Email,2024-01-03,January,Q1,Seniors (45+),Mobile,North,Female,31369,8720,748,888.36,220693.92,27.8,8.58,24742.85,1.19,248.43,75.0,49.2,1.6,922.98
C1797,Influencer_Marketing,Influencer,2024-01-03,January,Q1,Gen X (35-44),Desktop,North,Non-binary,2937,1060,83,2171.63,32000.17,36.12,7.85,1373.56,26.16,14.74,21.0,451.0,9.6,3107.9
C3647,Email_Newsletter,Email,2024-01-03,January,Q1,Millennials (25-34),Desktop,West,Non-binary,2982,391,30,39.02,6024.32,13.12,7.9,15339.06,1.3,154.39,33.0,556.2,3.9,50.09
C9647,Email_Newsletter,Email,2024-01-03,January,Q1,Young Adults (18-24),Mobile,East,Non-binary,3448,735,80,65.78,27452.39,21.34,11.01,41633.64,0.82,417.34,35.0,60.6,2.1,85.81
C7420,YouTube_Video_Ads,Video,2024-01-03,January,Q1,Seniors (45+),Tablet,West,Female,2444,143,0,52.27,0.0,5.89,0.68,-100.0,0.0,0.0,35.0,80.3,8.5,74.57
C6095,Email_Newsletter,Email,2024-01-03,January,Q1,Seniors (45+),Desktop,Central,Male,19913,3785,132,328.55,21638.25,19.01,3.51,6485.98,2.49,65.86,28.0,434.7,5.8,352.18
C1210,Facebook_Social,Social,2024-01-03,January,Q1,Seniors (45+),Mobile,South,Male,18428,2324,235,2317.09,20104.31,12.62,10.13,767.65,9.86,8.68,39.0,336.8,8.3,2567.85
C9871,Google_Search_Ads,Search,2024-01-04,January,Q1,Young Adults (18-24),Mobile,West,Non-binary,58235,21521,3336,37956.46,732133.82,36.96,15.5,1828.88,11.38,19.29,56.0,40.5,6.9,49696.11
C3615,Influencer_Marketing,Influencer,2024-01-04,January,Q1,Millennials (25-34),Desktop,Central,Female,1488,360,22,626.05,8406.42,24.25,6.13,1242.77,28.46,13.43,73.0,490.8,3.7,656.62
C4349,Email_Newsletter,Email,2024-01-04,January,Q1,Millennials (25-34),Desktop,Central,Male,7897,1442,10,137.6,3649.42,18.26,0.73,2552.19,13.76,26.52,21.0,408.4,9.7,176.14
C5272,Facebook_Social,Social,2024-01-04,January,Q1,Millennials (25-34),Desktop,East,Male,15626,2633,90,2407.64,20348.67,16.85,3.45,745.17,26.75,8.45,31.0,519.5,7.1,3416.33
C9561,Influencer_Marketing,Influencer,2024-01-04,January,Q1,Gen X (35-44),Mobile,North,Non-binary,2099,674,48,1340.81,11141.44,32.16,7.22,730.95,27.93,8.31,74.0,580.5,2.9,1884.58
C3549,Google_Search_Ads,Search,2024-01-04,January,Q1,Millennials (25-34),Desktop,North,Female,3326,1100,151,1835.66,29064.81,33.09,13.77,1483.34,12.16,15.83,47.0,334.0,6.9,1873.84
C7962,Google_Search_Ads,Search,2024-01-04,January,Q1,Seniors (45+),Mobile,Central,Male,14394,5018,386,8206.02,34745.05,34.86,7.71,323.41,21.26,4.23,61.0,468.9,9.7,11379.36
C7388,Influencer_Marketing,Influencer,2024-01-04,January,Q1,Young Adults (18-24),Desktop,Central,Female,500,115,7,237.17,1834.14,23.02,6.88,673.34,33.88,7.73,27.0,598.0,8.0,341.19
C9747,Instagram_Stories,Social,2024-01-04,January,Q1,Millennials (25-34),Desktop,North,Female,25267,5683,364,5347.32,28249.22,22.49,6.42,428.29,14.69,5.28,53.0,140.8,7.2,7447.19
C5451,Retargeting_Display,Display,2024-01-04,January,Q1,Young Adults (18-24),Tablet,South,Female,35368,11738,1786,6585.25,507794.67,33.19,15.22,7611.09,3.69,77.11,28.0,449.4,6.8,9783.19
C1856,YouTube_Video_Ads,Video,2024-01-04,January,Q1,Seniors (45+),Desktop,East,Male,706,64,4,28.78,503.44,9.13,6.74,1649.27,7.2,17.49,67.0,69.1,3.3,42.78
C7154,Email_Newsletter,Email,2024-01-04,January,Q1,Young Adults (18-24),Mobile,South,Non-binary,2102,422,31,44.19,8643.78,20.09,7.38,19460.49,1.43,195.6,25.0,211.7,9.9,59.18
C8955,Influencer_Marketing,Influencer,2024-01-04,January,Q1,Seniors (45+),Desktop,North,Male,8260,2374,155,5261.53,53883.12,28.75,6.53,924.1,33.95,10.24,65.0,206.1,9.0,7737.98
C5610,Facebook_Social,Social,2024-01-04,January,Q1,Seniors (45+),Mobile,South,Non-binary,2072,433,31,354.08,8455.43,20.94,7.18,2288.0,11.42,23.88,52.0,352.1,6.5,443.0
C9161,LinkedIn_B2B,Social,2024-01-04,January,Q1,Millennials (25-34),Mobile,West,Non-binary,22887,6306,555,20658.42,99031.56,27.55,8.81,379.38,37.22,4.79,25.0,59.8,3.3,21425.33
C3939,Facebook_Social,Social,2024-01-04,January,Q1,Young Adults (18-24),Desktop,North,Male,692,109,0,93.22,0.0,15.84,0.5,-100.0,0.0,0.0,28.0,49.1,5.2,137.71
C5613,Influencer_Marketing,Influencer,2024-01-04,January,Q1,Seniors (45+),Mobile,South,Non-binary,16218,6084,30,10509.41,8138.38,37.51,0.5,-22.56,350.31,0.77,41.0,547.3,1.3,10714.88
C9419,Email_Newsletter,Email,2024-01-04,January,Q1,Millennials (25-34),Desktop,South,Male,10610,1927,180,207.49,43585.91,18.17,9.37,20906.27,1.15,210.06,35.0,311.9,7.3,208.72
C1204,Email_Newsletter,Email,2024-01-05,January,Q1,Gen X (35-44),Mobile,South,Non-binary,13580,3171,241,356.53,15699.25,23.35,7.6,4303.35,1.48,44.03,62.0,126.6,2.9,438.5
C6440,YouTube_Video_Ads,Video,2024-01-05,January,Q1,Gen X (35-44),Mobile,Central,Non-binary,4410,831,31,349.84,9008.73,18.86,3.79,2475.1,11.29,25.75,68.0,409.0,6.1,474.09
C9414,Influencer_Marketing,Influencer,2024-01-05,January,Q1,Seniors (45+),Tablet,South,Female,12792,4279,232,9647.19,78593.16,33.45,5.43,714.67,41.58,8.15,66.0,413.6,3.7,9819.05
C1012,LinkedIn_B2B,Social,2024-01-05,January,Q1,Seniors (45+),Mobile,East,Male,5289,442,32,1648.43,12217.84,8.37,7.39,641.18,51.51,7.41,56.0,403.2,1.1,2070.66
C7433,Email_Newsletter,Email,2024-01-05,January,Q1,Millennials (25-34),Tablet,North,Male,4915,1109,70,117.0,24958.69,22.57,6.33,21232.21,1.67,213.32,64.0,133.8,6.1,118.76
C2113,Facebook_Social,Social,2024-01-05,January,Q1,Gen X (35-44),Tablet,North,Non-binary,2977,749,29,669.23,2694.22,25.18,3.89,302.59,23.08,4.03,71.0,288.8,7.6,792.09
C3096,Email_Newsletter,Email,2024-01-05,January,Q1,Millennials (25-34),Mobile,South,Non-binary,79667,17501,2426,1661.36,513656.04,21.97,13.87,30817.8,0.68,309.18,24.0,233.7,7.3,2453.18
C2742,YouTube_Video_Ads,Video,2024-01-05,January,Q1,Millennials (25-34),Tablet,Central,Male,9185,1576,7,628.04,1247.44,17.16,0.5,98.62,89.72,1.99,55.0,570.1,1.4,916.58
C5314,LinkedIn_B2B,Social,2024-01-05,January,Q1,Seniors (45+),Desktop,Central,Non-binary,162930,36571,5123,125914.55,1755352.48,22.45,14.01,1294.08,24.58,13.94,35.0,285.7,5.8,167694.55
C8508,Facebook_Social,Social,2024-01-05,January,Q1,Gen X (35-44),Desktop,East,Male,3009,493,35,459.44,2988.75,16.39,7.24,550.52,13.13,6.51,25.0,429.6,1.7,648.24
C5191,LinkedIn_B2B,Social,2024-01-05,January,Q1,Millennials (25-34),Mobile,West,Female,69031,10784,863,39463.77,47926.66,15.62,8.0,21.44,45.73,1.21,72.0,583.5,9.3,49364.04
C5669,Influencer_Marketing,Influencer,2024-01-05,January,Q1,Young Adults (18-24),Desktop,West,Female,10461,3283,188,6507.61,69486.69,31.39,5.73,967.78,34.61,10.68,57.0,105.8,5.7,8579.04
C4666,Retargeting_Display,Display,2024-01-05,January,Q1,Millennials (25-34),Tablet,South,Non-binary,3965,1764,354,1119.66,140034.95,44.5,20.1,12406.92,3.16,125.07,32.0,407.5,6.5,1631.96
C8299,YouTube_Video_Ads,Video,2024-01-05,January,Q1,Young Adults (18-24),Mobile,South,Male,5833,362,4,142.33,1329.93,6.22,1.29,834.4,35.58,9.34,37.0,276.6,9.6,144.59
C2832,Facebook_Social,Social,2024-01-05,January,Q1,Seniors (45+),Tablet,West,Non-binary,1661,451,43,465.24,4413.77,27.16,9.54,848.71,10.82,9.49,53.0,247.1,9.7,661.13
C9195,Facebook_Social,Social,2024-01-05,January,Q1,Millennials (25-34),Desktop,West,Male,203285,40928,2690,37468.11,630204.76,20.13,6.57,1581.98,13.93,16.82,44.0,63.1,8.9,43406.7
C8116,Email_Newsletter,Email,2024-01-05,January,Q1,Gen X (35-44),Desktop,Central,Non-binary,12130,2286,75,242.26,20516.49,18.85,3.29,8368.79,3.23,84.69,49.0,468.0,7.8,317.1
C8251,Influencer_Marketing,Influencer,2024-01-05,January,Q1,Millennials (25-34),Mobile,Central,Male,10133,2724,206,5515.5,19206.08,26.89,7.59,248.22,26.77,3.48,66.0,511.9,3.7,5958.45
C4357,Google_Search_Ads,Search,2024-01-06,January,Q1,Seniors (45+),Tablet,North,Female,733,254,25,491.06,6353.84,34.67,10.01,1193.9,19.64,12.94,30.0,224.1,3.9,555.23
C4304,Email_Newsletter,Email,2024-01-06,January,Q1,Millennials (25-34),Tablet,West,Female,11896,1780,118,172.82,32710.06,14.97,6.67,18827.24,1.46,189.27,58.0,393.7,3.9,180.9
C9832,Instagram_Stories,Social,2024-01-06,January,Q1,Seniors (45+),Tablet,East,Female,12449,2487,226,3126.57,36497.96,19.98,9.12,1067.35,13.83,11.67,49.0,40.8,9.0,4359.74
C3684,Facebook_Social,Social,2024-01-06,January,Q1,Young Adults (18-24),Mobile,South,Non-binary,20713,2909,106,2547.95,13079.51,14.05,3.66,413.33,24.04,5.13,74.0,398.0,9.4,2934.46
C4913,Retargeting_Display,Display,2024-01-06,January,Q1,Young Adults (18-24),Desktop,East,Non-binary,64692,29206,4085,18832.61,593592.94,45.15,13.99,3051.94,4.61,31.52,26.0,173.6,9.3,24309.03
C6553,Instagram_Stories,Social,2024-01-06,January,Q1,Seniors (45+),Tablet,Central,Male,14536,3594,483,3802.85,131720.95,24.73,13.46,3363.74,7.87,34.64,60.0,386.1,5.6,4373.49
C9476,Retargeting_Display,Display,2024-01-06,January,Q1,Gen X (35-44),Mobile,West,Male,15386,4793,862,3019.48,305823.51,31.16,17.99,10028.35,3.5,101.28,68.0,360.0,4.9,3988.08
C8682,Instagram_Stories,Social,2024-01-06,January,Q1,Gen X (35-44),Tablet,West,Male,8741,2064,72,2496.56,11407.96,23.62,3.52,356.95,34.67,4.57,72.0,132.4,7.0,3335.54
C5885,YouTube_Video_Ads,Video,2024-01-06,January,Q1,Millennials (25-34),Desktop,West,Non-binary,8971,256,1,97.79,157.69,2.86,0.5,61.25,97.79,1.61,32.0,128.6,6.8,142.74
C1480,Instagram_Stories,Social,2024-01-06,January,Q1,Young Adults (18-24),Mobile,South,Female,6496,1972,95,1883.7,26252.3,30.36,4.82,1293.66,19.83,13.94,65.0,547.2,7.7,2149.73
C8296,Retargeting_Display,Display,2024-01-06,January,Q1,Seniors (45+),Desktop,East,Male,8431,2901,407,1738.85,97333.12,34.41,14.06,5497.56,4.27,55.98,72.0,265.1,6.1,2508.52
C5345,Facebook_Social,Social,2024-01-06,January,Q1,Young Adults (18-24),Tablet,East,Female,878,192,7,165.89,593.76,21.92,3.96,257.92,23.7,3.58,62.0,580.8,9.7,237.64
C2825,Instagram_Stories,Social,2024-01-06,January,Q1,Young Adults (18-24),Tablet,Central,Male,12115,2761,139,3115.55,22470.68,22.79,5.06,621.24,22.41,7.21,47.0,243.2,6.8,3874.41
C2077,Retargeting_Display,Display,2024-01-06,January,Q1,Gen X (35-44),Desktop,Central,Male,1661,666,86,344.71,16822.1,40.14,12.98,4780.07,4.01,48.8,21.0,158.2,4.5,363.96
C3319,Email_Newsletter,Email,2024-01-06,January,Q1,Seniors (45+),Desktop,East,Non-binary,92508,16051,457,1844.83,146832.8,17.35,2.85,7859.15,4.04,79.59,68.0,240.1,3.2,2553.24
C4874,Email_Newsletter,Email,2024-01-07,January,Q1,Millennials (25-34),Mobile,East,Non-binary,1868,325,18,36.2,5808.98,17.42,5.54,15946.91,2.01,160.47,30.0,425.6,6.4,39.54
C9167,Google_Search_Ads,Search,2024-01-07,January,Q1,Young Adults (18-24),Desktop,South,Male,2821,923,73,1658.49,23627.36,32.75,7.99,1324.63,22.72,14.25,56.0,278.5,2.1,2452.21
C3930,Influencer_Marketing,Influencer,2024-01-07,January,Q1,Seniors (45+),Desktop,South,Non-binary,4094,1254,36,2695.0,2600.17,30.65,2.88,-3.52,74.86,0.96,30.0,267.7,5.2,3242.73
C4541,Google_Search_Ads,Search,2024-01-07,January,Q1,Young Adults (18-24),Desktop,North,Male,1989,579,38,1082.43,14063.23,29.16,6.57,1199.23,28.49,12.99,22.0,168.9,2.7,1354.28
C8632,Retargeting_Display,Display,2024-01-07,January,Q1,Millennials (25-34),Tablet,West,Non-binary,3664,1554,209,924.62,21658.89,42.43,13.51,2242.46,4.42,23.42,29.0,484.3,7.3,1158.79
C1774,Instagram_Stories,Social,2024-01-07,January,Q1,Young Adults (18-24),Mobile,West,Female,14528,3532,279,4437.85,58586.73,24.31,7.91,1220.16,15.91,13.2,25.0,466.3,4.4,4860.21
C4545,YouTube_Video_Ads,Video,2024-01-07,January,Q1,Millennials (25-34),Tablet,North,Female,4130,236,9,94.24,1746.73,5.72,3.87,1753.49,10.47,18.53,69.0,35.3,9.8,123.66
C2998,Retargeting_Display,Display,2024-01-07,January,Q1,Millennials (25-34),Mobile,East,Female,9833,4263,660,2816.34,262956.71,43.36,15.5,9236.82,4.27,93.37,21.0,94.3,6.5,3971.85
C2120,Email_Newsletter,Email,2024-01-07,January,Q1,Millennials (25-34),Tablet,East,Non-binary,16606,3597,155,336.36,61635.87,21.66,4.32,18224.38,2.17,183.24,52.0,352.9,3.0,405.09
C5037,YouTube_Video_Ads,Video,2024-01-07,January,Q1,Gen X (35-44),Tablet,North,Female,16166,2076,10,818.17,3254.98,12.84,0.5,297.84,81.82,3.98,71.0,506.7,4.5,906.58
C1425,Retargeting_Display,Display,2024-01-07,January,Q1,Millennials (25-34),Mobile,East,Non-binary,2179,1129,152,653.29,32405.79,51.84,13.49,4860.4,4.3,49.6,36.0,241.6,1.7,717.96
C9615,Google_Search_Ads,Search,2024-01-08,January,Q1,Gen X (35-44),Mobile,Central,Male,5583,1770,279,3409.78,24113.02,31.72,15.81,607.17,12.22,7.07,63.0,333.4,3.6,4527.81
C4032,Facebook_Social,Social,2024-01-08,January,Q1,Millennials (25-34),Mobile,North,Male,2426,515,12,428.04,619.55,21.23,2.5,44.74,35.67,1.45,68.0,198.7,1.8,446.66
C3742,Instagram_Stories,Social,2024-01-08,January,Q1,Young Adults (18-24),Mobile,West,Female,3056,1085,77,1203.73,25695.77,35.53,7.1,2034.68,15.63,21.35,60.0,408.4,2.0,1637.44
C3780,LinkedIn_B2B,Social,2024-01-08,January,Q1,Gen X (35-44),Desktop,Central,Male,2891,656,57,1983.29,18376.56,22.72,8.78,826.57,34.79,9.27,74.0,80.4,8.4,2358.71
C3361,Google_Search_Ads,Search,2024-01-08,January,Q1,Seniors (45+),Mobile,Central,Female,6445,2325,339,4743.21,98017.38,36.09,14.61,1966.48,13.99,20.66,47.0,382.2,8.8,6096.47
C1598,Facebook_Social,Social,2024-01-08,January,Q1,Young Adults (18-24),Tablet,South,Female,20307,3169,139,2761.6,51542.56,15.61,4.42,1766.4,19.87,18.66,56.0,53.1,1.1,3037.16
C2165,YouTube_Video_Ads,Video,2024-01-08,January,Q1,Millennials (25-34),Desktop,South,Non-binary,2473,172,3,76.47,680.49,6.96,1.89,789.88,25.49,8.9,33.0,249.2,2.0,111.04
C7017,YouTube_Video_Ads,Video,2024-01-08,January,Q1,Seniors (45+),Mobile,Central,Non-binary,31100,4796,58,1697.34,13911.74,15.42,1.22,719.62,29.26,8.2,31.0,78.4,5.7,1974.68
C9209,Google_Search_Ads,Search,2024-01-08,January,Q1,Millennials (25-34),Mobile,West,Female,20890,7827,614,12503.74,240969.58,37.47,7.85,1827.18,20.36,19.27,45.0,498.6,7.9,16965.66
C3656,Influencer_Marketing,Influencer,2024-01-08,January,Q1,Millennials (25-34),Desktop,Central,Female,8564,2741,60,4681.19,11546.18,32.02,2.19,146.65,78.02,2.47,37.0,247.8,5.5,6086.42
C6981,Retargeting_Display,Display,2024-01-08,January,Q1,Millennials (25-34),Desktop,Central,Male,51225,19051,2775,10440.53,417425.85,37.19,14.57,3898.13,3.76,39.98,56.0,234.4,6.0,12593.39
C8895,Influencer_Marketing,Influencer,2024-01-08,January,Q1,Gen X (35-44),Desktop,North,Male,1973,559,47,1170.98,8476.06,28.38,8.59,623.84,24.91,7.24,58.0,174.9,1.2,1725.9
C3371,LinkedIn_B2B,Social,2024-01-08,January,Q1,Gen X (35-44),Desktop,East,Male,10748,1578,94,4759.16,29993.74,14.69,6.02,530.23,50.63,6.3,73.0,205.0,3.3,5825.2
C2524,Instagram_Stories,Social,2024-01-09,January,Q1,Seniors (45+),Tablet,West,Female,8397,2192,121,2295.37,36743.87,26.11,5.56,1500.78,18.97,16.01,24.0,209.7,5.9,3202.87
C4201,YouTube_Video_Ads,Video,2024-01-09,January,Q1,Seniors (45+),Desktop,South,Male,10804,1892,9,829.02,1023.51,17.52,0.5,23.46,92.11,1.23,23.0,570.3,1.0,1233.93
C7684,Retargeting_Display,Display,2024-01-09,January,Q1,Seniors (45+),Mobile,North,Female,12232,3928,668,2105.06,253436.45,32.12,17.02,11939.39,3.15,120.39,27.0,414.2,9.0,2277.5
C9220,Google_Search_Ads,Search,2024-01-09,January,Q1,Gen X (35-44),Tablet,Central,Female,1361,509,66,988.02,10972.78,37.46,12.97,1010.58,14.97,11.11,52.0,85.9,9.4,1154.45
C1118,Retargeting_Display,Display,2024-01-09,January,Q1,Gen X (35-44),Tablet,North,Female,66152,21305,2470,12665.75,720798.46,32.21,11.59,5590.93,5.13,56.91,64.0,311.2,2.5,15291.92
C7103,Retargeting_Display,Display,2024-01-09,January,Q1,Millennials (25-34),Mobile,Central,Female,1368,557,84,358.95,16320.81,40.79,15.21,4446.82,4.27,45.47,57.0,309.1,4.9,411.04
C2536,Instagram_Stories,Social,2024-01-09,January,Q1,Seniors (45+),Desktop,East,Non-binary,8476,1934,125,2313.2,12482.66,22.83,6.51,439.63,18.51,5.4,71.0,536.4,4.7,2320.11
C2592,Instagram_Stories,Social,2024-01-09,January,Q1,Gen X (35-44),Mobile,Central,Female,112301,28620,2292,35621.43,898216.37,25.49,8.01,2421.56,15.54,25.22,75.0,411.6,9.4,42825.5
C2249,LinkedIn_B2B,Social,2024-01-09,January,Q1,Seniors (45+),Mobile,West,Non-binary,18392,2937,313,9824.82,123066.75,15.97,10.68,1152.61,31.39,12.53,36.0,34.1,5.6,10565.27
C8054,Facebook_Social,Social,2024-01-09,January,Q1,Millennials (25-34),Desktop,West,Male,2780,436,30,397.01,11069.19,15.71,7.07,2688.14,13.23,27.88,69.0,515.8,4.4,583.82
C2496,Google_Search_Ads,Search,2024-01-09,January,Q1,Gen X (35-44),Desktop,West,Female,20666,6565,799,12414.43,116333.57,31.77,12.17,837.08,15.54,9.37,21.0,67.9,9.6,14562.61
C1286,Influencer_Marketing,Influencer,2024-01-09,January,Q1,Millennials (25-34),Mobile,East,Female,9819,2854,226,5320.01,11931.37,29.07,7.93,124.27,23.54,2.24,73.0,499.9,6.5,7529.26
C4315,Instagram_Stories,Social,2024-01-09,January,Q1,Seniors (45+),Desktop,South,Male,5967,1261,69,1247.31,10337.26,21.14,5.51,728.76,18.08,8.29,64.0,546.3,9.8,1392.18
C8678,Facebook_Social,Social,2024-01-09,January,Q1,Gen X (35-44),Tablet,East,Non-binary,11531,2567,98,2424.56,20484.09,22.27,3.83,744.86,24.74,8.45,56.0,215.9,6.2,2938.65
C7227,Email_Newsletter,Email,2024-01-09,January,Q1,Millennials (25-34),Tablet,Central,Female,49523,12687,834,1149.75,245710.39,25.62,6.58,21270.77,1.38,213.71,68.0,530.2,7.0,1349.32
C4672,Influencer_Marketing,Influencer,2024-01-09,January,Q1,Gen X (35-44),Mobile,North,Female,5746,1710,174,3892.72,13487.54,29.76,10.2,246.48,22.37,3.46,35.0,311.7,2.5,4120.11
C3314,LinkedIn_B2B,Social,2024-01-09,January,Q1,Seniors (45+),Mobile,South,Non-binary,838,140,10,478.41,2053.52,16.71,7.52,329.24,47.84,4.29,50.0,369.5,6.3,486.66
C2192,Retargeting_Display,Display,2024-01-09,January,Q1,Millennials (25-34),Mobile,South,Non-binary,9192,3509,591,2245.95,118078.15,38.18,16.86,5157.38,3.8,52.57,55.0,559.1,8.6,2323.42
C6348,Facebook_Social,Social,2024-01-10,January,Q1,Seniors (45+),Desktop,East,Non-binary,50076,7189,747,6686.15,118278.73,14.36,10.39,1669.01,8.95,17.69,29.0,442.4,9.1,7299.88
